train tokens: 227,150,260  val tokens: 110,062
  step  5125 | loss 4.4944 | lr 3.69e-04
  step  5150 | loss 4.4154 | lr 3.67e-04
  step  5175 | loss 4.5704 | lr 3.65e-04
step  5200 | train_loss 4.5167 | val_loss 4.4741 | val_ppl 87.71 | lr 3.63e-04 | tok/s 1475
  step  5200 | loss 4.4385 | lr 3.63e-04
  step  5225 | loss 4.2951 | lr 3.61e-04
  step  5250 | loss 4.3214 | lr 3.60e-04
  step  5275 | loss 4.4990 | lr 3.58e-04
  step  5300 | loss 4.6331 | lr 3.56e-04
  step  5325 | loss 4.5642 | lr 3.54e-04
  step  5350 | loss 4.2538 | lr 3.52e-04
  step  5375 | loss 4.6428 | lr 3.50e-04
step  5400 | train_loss 4.5016 | val_loss 4.4478 | val_ppl 85.44 | lr 3.48e-04 | tok/s 1477
  step  5400 | loss 4.4386 | lr 3.48e-04
  step  5425 | loss 4.5870 | lr 3.46e-04
  step  5450 | loss 4.5574 | lr 3.44e-04
  step  5475 | loss 4.6575 | lr 3.42e-04
  step  5500 | loss 4.6175 | lr 3.40e-04
  step  5525 | loss 4.6625 | lr 3.38e-04
  step  5550 | loss 4.2971 | lr 3.36e-04
  step  5575 | loss 4.5443 | lr 3.34e-04
step  5600 | train_loss 4.4608 | val_loss 4.4329 | val_ppl 84.17 | lr 3.32e-04 | tok/s 1476
  step  5600 | loss 4.5150 | lr 3.32e-04
  step  5625 | loss 4.2975 | lr 3.30e-04
  step  5650 | loss 4.3296 | lr 3.28e-04
  step  5675 | loss 4.8195 | lr 3.26e-04
  step  5700 | loss 4.5753 | lr 3.24e-04
  step  5725 | loss 4.2945 | lr 3.22e-04
  step  5750 | loss 4.6157 | lr 3.20e-04
  step  5775 | loss 4.2910 | lr 3.18e-04
step  5800 | train_loss 4.4428 | val_loss 4.3682 | val_ppl 78.90 | lr 3.16e-04 | tok/s 1476
  step  5800 | loss 4.3202 | lr 3.16e-04
  step  5825 | loss 4.4355 | lr 3.14e-04
  step  5850 | loss 4.6270 | lr 3.12e-04
  step  5875 | loss 4.4070 | lr 3.10e-04
  step  5900 | loss 4.4191 | lr 3.08e-04
  step  5925 | loss 4.5404 | lr 3.06e-04
  step  5950 | loss 4.4283 | lr 3.04e-04
  step  5975 | loss 4.5207 | lr 3.02e-04
step  6000 | train_loss 4.4187 | val_loss 4.3703 | val_ppl 79.06 | lr 3.00e-04 | tok/s 1476
