train tokens: 227,150,260  val tokens: 110,062
  step  8000 | loss 4.8099 | lr 5.03e-04
checkpoint saved: /home/sanyam-0605/Desktop/sanyam_projects/rumik assignment/out/ckpt_8000.npz
  step  8050 | loss 4.6642 | lr 5.02e-04
  step  8100 | loss 4.6520 | lr 5.01e-04
  step  8150 | loss 4.7418 | lr 5.00e-04
  step  8200 | loss 4.6610 | lr 4.99e-04
  step  8250 | loss 4.6319 | lr 4.97e-04
  step  8300 | loss 4.6757 | lr 4.96e-04
  step  8350 | loss 4.6148 | lr 4.95e-04
  step  8400 | loss 4.7349 | lr 4.94e-04
  step  8450 | loss 4.6624 | lr 4.93e-04
step  8500 | train_loss 4.6370 | val_loss 4.6294 | val_ppl 102.45 | lr 4.91e-04 | tok/s 16931
  step  8500 | loss 4.7194 | lr 4.91e-04
  step  8550 | loss 4.6724 | lr 4.90e-04
  step  8600 | loss 4.6839 | lr 4.89e-04
  step  8650 | loss 4.6259 | lr 4.88e-04
  step  8700 | loss 4.7628 | lr 4.86e-04
  step  8750 | loss 4.4494 | lr 4.85e-04
  step  8800 | loss 4.5798 | lr 4.84e-04
  step  8850 | loss 4.5358 | lr 4.83e-04
  step  8900 | loss 4.6023 | lr 4.81e-04
  step  8950 | loss 4.5685 | lr 4.80e-04
step  9000 | train_loss 4.6457 | val_loss 4.5923 | val_ppl 98.72 | lr 4.79e-04 | tok/s 17012
  step  9000 | loss 4.5352 | lr 4.79e-04
  step  9050 | loss 4.7342 | lr 4.78e-04
  step  9100 | loss 4.6154 | lr 4.76e-04
  step  9150 | loss 4.6389 | lr 4.75e-04
  step  9200 | loss 4.6734 | lr 4.74e-04
  step  9250 | loss 4.5508 | lr 4.72e-04
  step  9300 | loss 4.5263 | lr 4.71e-04
  step  9350 | loss 4.6035 | lr 4.70e-04
  step  9400 | loss 4.4060 | lr 4.69e-04
  step  9450 | loss 4.4960 | lr 4.67e-04
step  9500 | train_loss 4.6084 | val_loss 4.5490 | val_ppl 94.54 | lr 4.66e-04 | tok/s 17008
  step  9500 | loss 4.6015 | lr 4.66e-04
  step  9550 | loss 4.7548 | lr 4.65e-04
  step  9600 | loss 4.6017 | lr 4.63e-04
  step  9650 | loss 4.6119 | lr 4.62e-04
  step  9700 | loss 4.7426 | lr 4.61e-04
  step  9750 | loss 4.4327 | lr 4.59e-04
  step  9800 | loss 4.5617 | lr 4.58e-04
  step  9850 | loss 4.5559 | lr 4.57e-04
  step  9900 | loss 4.6053 | lr 4.55e-04
  step  9950 | loss 4.4829 | lr 4.54e-04
